Company Name,Website,Address,Phone Number,Customer Name,Position,Customer Phone Number,Email Address,Specialise,,,,,,,,,
Nguyễn Lê - Công Ty TNHH Dịch Vụ Thương Mại Vận Tải Nguyễn Lê,,"217/C8 Xô Viết Nghệ Tĩnh, P. 17, Q. Bình Thạnh,TP. Hồ Chí Minh, Việt Nam",(028) 35120453,,,,,xuất nhập khẩu các công ty xuất nhập khẩu,Vận Chuyển Global - Công Ty TNHH Thương Mại Dịch Vụ Giao Nhận Vận Chuyển Global,www.global-tc.com.vn,"154 Phạm Văn Chiêu, P. 9, Q. Gò Vấp,TP. Hồ Chí Minh, Việt Nam",908346335,,Sales Manager,906252702,henry@global-tc.com.vn,vận chuyển hàng hóa giao nhận vận chuyển hàng hóa
Long Thịnh - Công Ty TNHH Thương Mại Dịch Vụ Long Thịnh,,"52 Chu Văn An, P. 1, Q. 6,TP. Hồ Chí Minh, Việt Nam",(028) 38557257,,,,,xuất nhập khẩu các công ty xuất nhập khẩu,Công Ty TNHH Kho Vận Toàn Cầu Toll Việt Nam,www.tollgroup.com,"Phòng 801, Tầng8, Tòa Nhà Waseco, 10 Phổ Quang, P. 2, Q. Tân Bình,TP. Hồ Chí Minh, Việt Nam",(028) 39976118,,,,,vận chuyển hàng hóa giao nhận vận chuyển hàng hóa
Hà Tây - Chi Nhánh Công Ty Cổ Phần Xuất Nhập Khẩu Hà Tây,,"54/4 Nguyễn Bỉnh Khiêm, P. Đa Kao, Q. 1,TP. Hồ Chí Minh, Việt Nam",(028) 39106670,,,,thuquoctrinh@yahoo.com,xuất nhập khẩu các công ty xuất nhập khẩu,Indo Trần - Công Ty Cổ Phần Giao Nhận & Vận Chuyển Indo Trần,www.itlvn.com,"52 Trường Sơn, P. 2, Q. Tân Bình,TP. Hồ Chí Minh, Việt Nam",(028) 38488567,,,,sales@itlvn.com,vận chuyển hàng hóa giao nhận vận chuyển hàng hóa
Vạn Hạnh - Công Ty TNHH Dịch Vụ Tư Vấn Thương Mại Vạn Hạnh,www.evergood.com.vn,"Phòng 407, Tầng4, 7 Nam Quốc Cang, P. Phạm Ngũ Lão, Q. 1,TP. Hồ Chí Minh, Việt Nam",(028) 39253442,,,,evergood@hcm.vnn.vn,xuất nhập khẩu các công ty xuất nhập khẩu,Công Ty TNHH Tối Đa,www.maxco.com.vn,"Tầng 3, 37 Lê Quốc Hưng, P. 12, Q. 4,TP. Hồ Chí Minh, Việt Nam",(028) 62616623,Ms. Lâm Mỹ Linh,TP Kinh Doanh,0985 452 454,lucy.lam@maxco.com.vn,vận chuyển hàng hóa giao nhận vận chuyển hàng hóa
Đông Nhi - Công Ty TNHH Thương Mại Dịch Vụ Xuất Nhập Khẩu Đông Nhi,,"250 Gò Dầu, P. Tân Quý, Q. Tân Phú,TP. Hồ Chí Minh, Việt Nam",(028) 38472923,,,,,xuất nhập khẩu các công ty xuất nhập khẩu,Minh Phương - Công Ty TNHH Thương Mại Dịch Vụ Minh Phương,www.minhphuongvn.com,"33A Trường Sơn, P. 4, Q. Tân Bình,TP. Hồ Chí Minh, Việt Nam",(028) 38119033,,,,information@minhphuongvn.com,vận chuyển hàng hóa giao nhận vận chuyển hàng hóa
Bách Lợi - Công Ty Cổ Phần Dịch Vụ Môi Giới Thương Mại Bách Lợi,,"124 Nhất Chi Mai, P. 13, Q. Tân Bình,TP. Hồ Chí Minh, Việt Nam",(028) 36121228,,,,,xuất nhập khẩu các công ty xuất nhập khẩu,K33 Express Logistics - Công Ty TNHH Thương Mại XNK H100,www.k33.com.vn,"Số 11 Sầm Sơn, P. 4, Q. Tân Bình,TP. Hồ Chí Minh, Việt Nam",1800234511,Ms. Phạm Thị Thu Hương,NV Marketing,0938 966 314,k33.mar03@gmail.com,vận chuyển hàng hóa giao nhận vận chuyển hàng hóa
Miền Trung - Công Ty TNHH Xuất Nhập Khẩu Miền Trung,,"215/25 Nguyễn Xí, P. 13, Q. Bình Thạnh,TP. Hồ Chí Minh, Việt Nam",(028) 35530779,,,,mitruco_ltd@yahoo.com,xuất nhập khẩu các công ty xuất nhập khẩu,ITA Trans - Công Ty Cổ Phần Khai Thác Và Phát Triển Kho Vận Tân Tạo,www.itatrans.vn,"Tòa Nhà ICD, Lô 60A, Đường Số 2, KCN Tân Tạo, P. Tân Tạo A, Q. Bình Tân,TP. Hồ Chí Minh, Việt Nam",(028) 37507074,Hotline,,(028) 37507074,bwsales@itatrans.vn,vận chuyển hàng hóa giao nhận vận chuyển hàng hóa
Quang Song Thịnh - Công Ty TNHH Thương Mại Sản Xuất Xuất Nhập Khẩu Quang Song Thịnh,,"640/2 Hồng Bàng, P. 16, Q. 11,TP. Hồ Chí Minh, Việt Nam",(028) 39697066,,,,,xuất nhập khẩu các công ty xuất nhập khẩu,Công Ty TNHH Giao Nhận Vận Tải K&A,www.knalogvn.com,"61 Đường Bạch Đằng, P. 2, Q. Tân Bình,TP. Hồ Chí Minh, Việt Nam",(028) 22459777,Hotline,,,kent.nguyen@knalogvn.com,vận chuyển hàng hóa giao nhận vận chuyển hàng hóa
Eridan - Chi Nhánh Công Ty TNHH Eridan,www.eridan.com,"B90 Nguyễn Thần Hiến Street, Ward 18, District 4,TP. Hồ Chí Minh, Việt Nam",(028) 62615851,,,,binhnh@eridan.com,xuất nhập khẩu các công ty xuất nhập khẩu,Công Ty TNHH Thương Mại - Dịch Vụ Long Hưng Phát,www.longhungphat.com,"656/11 A Cách  Mạng Tháng Tám, P. 11, Q. 3,TP. Hồ Chí Minh, Việt Nam",(028) 39907826,Mr. Chánh,,0936 799 169,info@longhungphat.com,vận chuyển hàng hóa giao nhận vận chuyển hàng hóa
Dung Phúc - Công Ty TNHH Dung Phúc,,"201/13/31 Nguyễn Xí, P. 26, Q. Bình Thạnh,TP. Hồ Chí Minh, Việt Nam",(028) 35116230,,,,phamhaibinh2002@yahoo.com,xuất nhập khẩu các công ty xuất nhập khẩu,Công Ty TNHH MTV Thương Mại Dịch Vụ Vận Chuyển NAVA,www.navacargo.com,"60/26 Quốc Lộ 13, P. 26, Q. Bình Thạnh,TP. Hồ Chí Minh, Việt Nam",(028) 62588089,,TP. Kinh Doanh,0908 313 021,info@navacargo.com,vận chuyển hàng hóa giao nhận vận chuyển hàng hóa
Gia Long - Công Ty TNHH Thương Mại Xuất Nhập Khẩu Gia Long,,"201/102 Nguyễn Xí, P. 26, Q. Bình Thạnh,TP. Hồ Chí Minh, Việt Nam",(028) 38993725,,,,,xuất nhập khẩu các công ty xuất nhập khẩu,Lâm Hy - Công Ty TNHH Thương Mại Đại Lý Dịch Vụ Vận Tải Lâm Hy,,"Số 6 Đoàn Thị Điểm, P. 1, Q. Phú Nhuận.TP. Hồ Chí Minh, Việt Nam",(028) 39900349,Ông Trần Hồng Tuấn,Giám Đốc,,,vận chuyển hàng hóa giao nhận vận chuyển hàng hóa
T & L - Công Ty TNHH Thủy Tinh Xuất Khẩu T & L,www.webtnl.com,"Tầng1, 3B Tôn Đức Thắng, P. Bến Nghé, Q. 1,TP. Hồ Chí Minh, Việt Nam",(028) 39103517,,,,tnl@hcm.vnn.vn,xuất nhập khẩu các công ty xuất nhập khẩu,Công Ty TNHH Hoyer Transport Việt Nam,www.hoyervn.com,"Phòng 1405, 14F, Số 45 Võ Thị Sáu, P. Đakao, Q. 1,TP. Hồ Chí Minh, Việt Nam",(028) 39115778,Ms. Tú Anh,Phòng Marketing,(028) 3911 5778,agency@hoyervn.com,vận chuyển hàng hóa giao nhận vận chuyển hàng hóa
A.N.P - Công Ty TNHH Thương Mại Dịch Vụ XNK A.N.P,www.anp.com,"41 Cao Lỗ, P. 4, Q. 8,TP. Hồ Chí Minh, Việt Nam",(028) 38507656,,,,anpltd@hcm.vnn.vn,xuất nhập khẩu các công ty xuất nhập khẩu,Lotus Port - Công Ty Liên Doanh Bông Sen,www.lotusport.com,"1A Nguyễn Văn Quỳ, P. Phú Thuận, Q. 7,TP. Hồ Chí Minh, Việt Nam",(028) 38730148,Văn Phòng,,(028) 38730148,info@lotusport.com,vận chuyển hàng hóa giao nhận vận chuyển hàng hóa
So Ho Nữu Ước - Công Ty Cổ Phần Đầu Tư Thương Mại So Ho Nữu Ước,,"2A Phan Kế Bính, P. Đa Kao, Q. 1,TP. Hồ Chí Minh, Việt Nam",(028) 39107686,,,,,xuất nhập khẩu các công ty xuất nhập khẩu,Công Ty TNHH Xuất Nhập Khẩu An Phát,www.apexvietnam.vn,"Số 662/83 Bùi Đình Túy, P. 12, Q. Bình Thạnh,TP. Hồ Chí Minh, Việt Nam",(028) 62713441,Ms. Huyền,NV kinh doanh,0918 709 944,apex-cs@apexvietnam.com.vn,vận chuyển hàng hóa giao nhận vận chuyển hàng hóa
Sông Lam - Công Ty TNHH Thương Mại Dịch Vụ Xuất Nhập Khẩu Sông Lam,,"149 Đất Thánh, P. 6, Q. Tân Bình,TP. Hồ Chí Minh, Việt Nam",(028) 39708202,,,,song-lamco@vnn.vn,xuất nhập khẩu các công ty xuất nhập khẩu,Litaco Express - Công Ty CP Thương Mại Dịch Vụ Chuyển Phát Nhanh Li Ta,www.lita.com.vn,"179 Đào Duy Anh, P. 9, Q. Phú Nhuận,TP. Hồ Chí Minh, Việt Nam",(028) 38477122,Ms. Phạm Thị Hương Đông,TP Sales & Marketing,,info@lita.com.vn,vận chuyển hàng hóa giao nhận vận chuyển hàng hóa
Chi Nhánh Công Ty TNHH Nhà Nước Một Thành Viên Cung ứng Nhân Lực & Thương Mại Quốc Tế Hà Nội,www.interserco.com.vn,"1H Bà Triệu, P. 12, Q. 5,TP. Hồ Chí Minh, Việt Nam",(028) 39572616,,,,interhcm@yahoo.com,xuất nhập khẩu các công ty xuất nhập khẩu,Hà Thành - Chi Nhánh Công Ty TNHH Giao Nhận Vận Tải Hà Thành,www.hanotrans.com.vn,"Số 2 Đường Bích Câu, Q. Đống Đa,Hà Nội, Việt Nam",(024) 37324570,,,,info@hanotrans.com.vn,vận chuyển hàng hóa giao nhận vận chuyển hàng hóa
Công Ty Xuất Nhập Khẩu Tổng Hợp Sài Gòn,,"27 Cao Thắng, P. 2, Q. 3,TP. Hồ Chí Minh, Việt Nam",(028) 39290079,,,,incomexdirector@hcm.fpt.vn,xuất nhập khẩu các công ty xuất nhập khẩu,Công Ty TNHH Thương Mại & Dịch Vụ Bông Sen Vàng,,"K1 Cành Giữa 11, Đường 40, Khu Định Cư Tân Quy Đông, P. Tân Phong, Q. 7,TP. Hồ Chí Minh, Việt Nam",(028) 37715911,Văn Phòng,,,lotuslogistics@hcm.vnn.vn,vận chuyển hàng hóa giao nhận vận chuyển hàng hóa
Nguyễn Phong - Công Ty TNHH Dịch Vụ Thương Mại Nguyễn Phong,,"016 Hồ Văn Huê, Lô A, Chung Cư 43, P. 9, Q. Phú Nhuận,TP. Hồ Chí Minh, Việt Nam",(028) 39975311,,,,nguyenphong_vnn@yahoo.com,xuất nhập khẩu các công ty xuất nhập khẩu,Công Ty Cổ Phần Vận Tải Quốc Tế Tiến Tới Thành Công,www.tttcshipping.com,"Phòng 65, Lầu 3, 49 Hoàng Văn Thụ, P. 15, Q. Phú Nhuận,TP. Hồ Chí Minh, Việt Nam",(028) 39955500,Mr. Tú,,,general@tttcshipping.com,vận chuyển hàng hóa giao nhận vận chuyển hàng hóa
Tân Hoàn Cầu - Công Ty TNHH Thương Mại Tân Hoàn Cầu,www.tanhoancau.com,"27B Nguyễn Văn Thủ, P. Đa Kao, Q. 1,TP. Hồ Chí Minh, Việt Nam",(028) 39101124,,,,tanhoancau@hcm.vnn.vn,xuất nhập khẩu các công ty xuất nhập khẩu,Hoàng Long - Công Ty TNHH Thương Mại Giao Nhận Hàng Hóa Hoàng Long,www.hlcargo.com,"Tầng 5 Tòa Nhà Trần Phú, Tổ 24, Yên Hòa, Q. Cầu Giấy,Hà NộiTrụ Sở: Số 800 Nguyễn Văn Minh, Tòa Nhà Kim Sơn, P. Tân Phú, Q. 7,Tp. Hồ Chí Minh, Việt Nam",(04) 54107108,,,,office@hlcargo.com,vận chuyển hàng hóa giao nhận vận chuyển hàng hóa
Phước Thái - Công Ty TNHH Thương Mại Sản Xuất & Xuất Nhập Khẩu Phước Thái,,"62 Xô Viết Nghệ Tĩnh, P. 19, Q. Bình Thạnh,TP. Hồ Chí Minh, Việt Nam",(028) 38994250,,,,phuocthaico@hcm.vnn.vn,xuất nhập khẩu các công ty xuất nhập khẩu,KL - Công Ty Cổ Phần Giao Nhận & Thương Mại KL,www.klexpress.com,"Phòng 202, Tầng2, Tòa Nhà Hoa Lâm, 2 Thi Sách, P. Bến Nghé, Q. 1,TP. Hồ Chí Minh, Việt Nam",(028) 38246631,Ms. Thuần,Giám Đốc,,info@klexpress.com,vận chuyển hàng hóa giao nhận vận chuyển hàng hóa
Vĩnh Phước - Công Ty TNHH Sản Xuất Thương Mại Xuất Nhập Khẩu Vĩnh Phước,,"130-132 Phạm Phú Thứ, P. 11, Q. Tân Bình,TP. Hồ Chí Minh, Việt Nam",(028) 38426457,,,,,xuất nhập khẩu các công ty xuất nhập khẩu,Công Ty TNHH Thương Mại Dịch Vụ Bình Thiên,,"143/15 Xô Viết Nghệ Tĩnh, P. 25, Q. Bình Thạnh,TP. Hồ Chí Minh, Việt Nam",(028) 38404430,Hotline,,0918 272 502,hiepnguyen22@yahoo.com.vn,vận chuyển hàng hóa giao nhận vận chuyển hàng hóa
Nhật Việt - Công Ty TNHH Thương Mại Dịch Vụ Xuất Nhập Khẩu Nhật Việt,,"45 Thủ Khoa Huân, P. Bến Thành, Q. 1,TP. Hồ Chí Minh, Việt Nam",(028) 62725045,,,,javico@hcm.fpt.vn,xuất nhập khẩu các công ty xuất nhập khẩu,Công Ty TNHH Dịch Vụ Vận Tải Phương Vy,www.vantaiphuongvy.com,"Số 38H4, Đường DN9, KP. 4, P. Tân Hưng Thuận, Q. 12,TP. Hồ Chí Minh, Việt Nam",(028) 37180090,Ms. Vân,TP. Kinh Doanh,0933.871.139,phuongvy5779@gmail.com,vận chuyển hàng hóa giao nhận vận chuyển hàng hóa
DQ - Công Ty TNHH Thương Mại & Dịch Vụ Giao Nhận Hàng Hóa Xuất Nhập Khẩu DQ,,"121 Trần Minh Quyền, P. 10, Q. 10,TP. Hồ Chí Minh, Việt Nam",(028) 38335177,,,,dqcoltd@yahoo.com,xuất nhập khẩu các công ty xuất nhập khẩu,Vận Chuyển Tân Phú - Công Ty TNHH Giao Nhận Vận Chuyển Tân Phú,www.vanchuyentanphu.vn,"431 Kênh Tân Hóa, P. Hóa Thạnh, Q. Tân Phú,TP. Hồ Chí Minh, Việt Nam",982535535,Hotline,,0982 535 535,phungngochuong.hpn@gmail.com,vận chuyển hàng hóa giao nhận vận chuyển hàng hóa
Hoàng Lĩnh - Công Ty TNHH Thương Mại & Dịch Vụ Sản Xuất Hoàng Lĩnh,,"Tầng 3, 8 Lê Duẩn, P. Bến Nghé, Q. 1,TP. Hồ Chí Minh, Việt Nam",(028) 38227488,,,,,xuất nhập khẩu các công ty xuất nhập khẩu,Vận Chuyển Atoz - Công Ty TNHH TM DV Atoz,www.logisticsatoz.net,"Số 51 Nguyễn Đình Chính, P. 15, Q. Phú Nhuận,TP. Hồ Chí Minh, Việt Nam",793090969,Hotline,,0793 090 969,hotline@logisticsatoz.net,vận chuyển hàng hóa giao nhận vận chuyển hàng hóa
Chi Nhánh - Công Ty Daklak Vật Tư Vận Tải & Xuất Nhập Khẩu,,"491/70 Nguyễn Đình Chiểu, P. 2, Q. 3,TP. Hồ Chí Minh, Việt Nam",(028) 38356635,,,,,xuất nhập khẩu các công ty xuất nhập khẩu,Công Ty TNHH Dịch Vụ Việt Trade,,"102 Nguyễn Xí, P. 26, Q. Bình Thạnh,TP. Hồ Chí Minh, Việt Nam",(028) 35114706,Ms. Tâm,,(028) 35114706,viettrade2@gmail.com,vận chuyển hàng hóa giao nhận vận chuyển hàng hóa
Trí Thông - Công Ty TNHH Thương Mại Sản Xuất Xây Dựng & XNK Trí Thông,,"18/3 Nguyễn Cảnh Chân, P. Cầu Kho, Q. 1,TP. Hồ Chí Minh, Việt Nam",(028) 39200341,,,,trithongco@saigonnet.vn,xuất nhập khẩu các công ty xuất nhập khẩu,Điện Biên - Công Ty TNHH Thương Mại Dịch Vụ Giao Nhận Điện Biên,www.dienbienvn.com.vn,"32 Xô Viết Nghệ Tĩnh, P. 19, Q. Bình Thạnh,TP. Hồ Chí Minh, Việt Nam",(028) 38404295,,,,dienbienvn@gmail.com,vận chuyển hàng hóa giao nhận vận chuyển hàng hóa
Tài Vĩnh Hưng - Công Ty TNHH Thương Mại Dịch Vụ Tài Vĩnh Hưng,,"12/10 Cư Xá Lữ Gia, P. 15, Q. 11,TP. Hồ Chí Minh, Việt Nam",(028) 38637782,,,,,xuất nhập khẩu các công ty xuất nhập khẩu,Công Ty TNHH Kinh Đông,,"31/2/29 Ung Văn Khiêm, P. 25, Q. Bình Thạnh,TP. Hồ Chí Minh, Việt Nam",(028) 35106477,Văn Phòng,,,nganlongco@viettel.vn,vận chuyển hàng hóa giao nhận vận chuyển hàng hóa
Phúc Long - Công Ty Cổ Phần Thương Mại & Đầu Tư Phúc Long,,"198 Điện Biên Phủ, P. 7, Q. 3,TP. Hồ Chí Minh, Việt Nam",(028) 39321620,,,,,xuất nhập khẩu các công ty xuất nhập khẩu,Công Ty CP Thương Mại Dịch Vụ Và Đầu Tư Thành Trung,www.thanhtrungcorp.com.vn,"Số 77, Đào Duy Anh, P. 9, Q. Phú Nhuận,TP. Hồ Chí Minh, Việt Nam",(028) 62910201,Ms. Tuyền,,0902 979 648,ttextrans@gmail.com,vận chuyển hàng hóa giao nhận vận chuyển hàng hóa
Thanh Hải - Công Ty TNHH Thương Mại Xuất Nhập Khẩu Thanh Hải,,"7B/5A Quang Trung, P. 11, Q. Gò Vấp,TP. Hồ Chí Minh, Việt Nam",(028) 35891982,,,,,xuất nhập khẩu các công ty xuất nhập khẩu,Công Ty TNHH Vận Chuyển Hải Thiên Việt Nam,www.seaskyshippingvn.com,"181 Đào Duy Anh, P. 9, Q. Phú Nhuận,TP. Hồ Chí Minh, Việt Nam",386038918,Ms. Micho Seasky,Sales,0386 038 918,sales07.vtn@easky-shipping.com,vận chuyển hàng hóa giao nhận vận chuyển hàng hóa
Quyết Thắng - Vpđd Công Ty Cổ Phần Xây Dựng Xuất Nhập Khẩu Quyết Thắng,,"Tầng5, Tòa Nhà Vinaconex, 47 Điện Biên Phủ, P. Đa Kao, Q. 1,TP. Hồ Chí Minh, Việt Nam",(028) 39105205,,,,,xuất nhập khẩu các công ty xuất nhập khẩu,Công Ty TNHH MTV Vận Tải Thương Mại Và Dịch Vụ Ba Miền,www.vantaibamien.com,"a8/11B Mai Bá Hương, ấp 1, X. Lê Minh Xuân, H. Bình Chánh,TP. Hồ Chí Minh, Việt Nam",(028) 37683110,La Thành Liêm,,0903 712 008,thanhliem3mien@gmail.com,vận chuyển hàng hóa giao nhận vận chuyển hàng hóa
Tân Phú Cường - Công Ty TNHH Công Nghiệp Thương Mại Xuất Nhập Khẩu Tân Phú Cường,,"53/1 Phan Văn Hớn, P. Tân Thới Nhất, Q. 12,TP. Hồ Chí Minh, Việt Nam",(028) 35920642,,,,taphuco@hcm.vnn.vn,xuất nhập khẩu các công ty xuất nhập khẩu,Công Ty TNHH Giao Nhận XNK Nguyên My,,"552 Nguyễn Thị Định, P. Thạnh Mỹ Lợi, Q. 2,TP. Hồ Chí Minh, Việt Nam",(028) 62870694,Ông Lê Xuân Vinh,Giám Đốc,090 369 6952,nguyenmycorp@yahoo.com,vận chuyển hàng hóa giao nhận vận chuyển hàng hóa
Nam Đế - Công Ty TNHH Thương Mại Dịch Vụ Nam Đế,,"351/43A Lê Văn Sỹ, P. 13, Q. 3,TP. Hồ Chí Minh, Việt Nam",(028) 39315966,,,,ct-namde@hotmail.com,xuất nhập khẩu các công ty xuất nhập khẩu,Vận Chuyển Transpo - Công Ty TNHH Transpo Việt Nam,www.asiantigersgroup.com,"Số 109 Đường Xuân Thủy, P. Thảo Điền, TP. Thủ Đức,TP. Hồ Chí Minh, Việt Nam",(028) 38267799,Ms Nguyễn Nhung,Office Manager & PA,,info.hcm@asiantigers-vietnam.com,vận chuyển hàng hóa giao nhận vận chuyển hàng hóa
ADT - Chi Nhánh Công Ty TNHH Thương Mại & XNK ADT,,"43R/13 Hồ Văn Huê, P. 9, Q. Phú Nhuận,TP. Hồ Chí Minh, Việt Nam",(028) 38462542,,,,adtltd@yahoo.com,xuất nhập khẩu các công ty xuất nhập khẩu,Công Ty TNHH Dịch Vụ Vận Tải Ngự Hạn,,"Phòng B2, Lầu 8, 167 Nguyễn Phúc Nguyên, P. 10, Q. 3,TP. Hồ Chí Minh, Việt Nam",(028) 38906608,,,08 667 67 124,ann@chieftain.com.tw,vận chuyển hàng hóa giao nhận vận chuyển hàng hóa
Vinh Sang - Vpđd Công ty TNHH Thương Mại Vinh Sang,,"217/22/21 Bùi Đình Túy, P. 24, Q. Bình Thạnh,TP. Hồ Chí Minh, Việt Nam",(028) 38984812,,,,,xuất nhập khẩu các công ty xuất nhập khẩu,Công Ty TNHH Thương Mại Vận Tải Quốc Tế Ngôi Sao Mỹ,www.americanstar-vn.com,"41 Cù Lao, Phường 2, Quận Phú Nhuận,TP. Hồ Chí Minh, Việt Nam",(028) 3995 5931,,GĐ. Kinh doanh,0977 20 20 29,info@americanstar-vn.com,vận chuyển hàng hóa giao nhận vận chuyển hàng hóa
Thái Tâm - Công Ty TNHH Thương Mại Dịch Vụ Xây Dựng Thái Tâm,,"7/1 Đường 9, P. 5, Q. Gò Vấp,TP. Hồ Chí Minh, Việt Nam",(028) 39859635,,,,,xuất nhập khẩu các công ty xuất nhập khẩu,Công Ty TNHH TMDV Tân Long Vân,,"20 Nguyễn Cảnh Dị, Q. Tân Bình,TP. Hồ Chí Minh, Việt Nam",(028) 39484323,Quan Hue Dung,,0932.068.687,alicequan@tanlongvan.com.vn,vận chuyển hàng hóa giao nhận vận chuyển hàng hóa
Công Ty Cổ Phần Thủy Sản Số 4,www.seapriexcono4.com,"320 Hưng Phú, P. 9, Q. 8,TP. Hồ Chí Minh, Việt Nam",(028) 39543364,,,,donglanh4@hcm.vnn.vn,xuất nhập khẩu các công ty xuất nhập khẩu,Sài Gòn Xanh - Công Ty Cổ Phần Thương Mại & Dịch Vụ Sài Gòn Xanh,www.satraser.com,"Số 12, Đường 41, P. 6, Q. 4,TP. Hồ Chí Minh, Việt Nam",(028) 39415013,,,,satraser@hcm.fpt.vn,vận chuyển hàng hóa giao nhận vận chuyển hàng hóa
Công Ty Đầu Tư Xây Dựng & Thương Mại Tỉnh Bà Rịa-Vũng Tàu,,"377B Nguyễn Tri Phương, P. 5, Q. 10,TP. Hồ Chí Minh, Việt Nam",(028) 38534003,,,,,xuất nhập khẩu các công ty xuất nhập khẩu,Công ty TNHH Thương Mại Dịch Vụ Vận Tải SUNRISE,www.sunrise.net.vn,"69/2 Đường 79, Tân Quy, Quận 7,TP. Hồ Chí Minh, Việt Nam",(028) 37714099,Bà Trần Thị Sen,,,sentran@sunrise.net.vn,vận chuyển hàng hóa giao nhận vận chuyển hàng hóa
V.I.C - Công Ty TNHH Xuất Nhập Khẩu Thương Mại V.I.C,,"284B Võ Văn Ngân, P. Bình Thọ, Q. Thủ Đức,TP. Hồ Chí Minh, Việt Nam",(028) 37220855,,,,giavien2001@yahoo.com,xuất nhập khẩu các công ty xuất nhập khẩu,Dịch Vụ Vận Chuyển Hàng Vinatransit  - Công Ty TNHH Vận Tải Quốc Tế Vinatransit,www.vinatransit.vn,"638 Lê Trọng Tấn, P. Bình Hưng Hoà, Q. Bình Tân,TP. Hồ Chí Minh, Việt Nam",987456761,Mr. Phạm Ngọc Tài,Quản lý,0987 456 761,vinatransit@gmail.com,vận chuyển hàng hóa giao nhận vận chuyển hàng hóa
Chi Nhánh - Công Ty Đầu Tư Xuất Nhập Khẩu Đắc Lắc,,"Phòng 1003, 149 Nguyễn Đình Chiểu, P. 6, Q. 3,TP. Hồ Chí Minh, Việt Nam",(028) 39304303,,,,ineximdl.hcm@hcm.vnn.vn,xuất nhập khẩu các công ty xuất nhập khẩu,Công Ty TNHH Một Thành Viên Thương Mại Dịch Vụ Hàng Hóa Đồng Phát,www.dongphatcargo.com,"24 Hoàng Việt, P. 4, Q. Tân Bình,TP. Hồ Chí Minh, Việt Nam",0938.276.988,Mr. Tình,,0938 276 988,vanchuyendongphat@gmail.com,vận chuyển hàng hóa giao nhận vận chuyển hàng hóa
Chi Nhánh - Công Ty Đà Nẵng XNK,,"458 Nguyễn Chí Thanh, P. 5, Q. 10,TP. Hồ Chí Minh, Việt Nam",(028) 38534684,,,,,xuất nhập khẩu các công ty xuất nhập khẩu,Công Ty TNHH Dịch Vụ - Vận Tải Nam Toàn Thắng,www.Vantainhatphuongtrans.com,"162 Khu Dân Cư Thới An, P. Thới An, Q. 12,TP. Hồ Chí Minh, Việt Nam",(028) 37151586,Ông Trần Anh Nam,Giám Đốc,0946.75.75.76,namtoanthang@yahoo.com,vận chuyển hàng hóa giao nhận vận chuyển hàng hóa
Đại Dương Xanh - Công Ty TNHH Đại Dương Xanh,,"91 Huỳnh Tịnh Của, P. 8, Q. 3,TP. Hồ Chí Minh, Việt Nam",(028) 35265159,,,,b-ocean@hcm.fpt.vn,xuất nhập khẩu các công ty xuất nhập khẩu,Vietsun - Công Ty TNHH Tiếp Vận Mặt Trời Việt,www.vietsun.vn,"Số 71, Đường A4, P. 12, Q. Tân Bình,TP. Hồ Chí Minh, Việt Nam",(028) 66744411,Mr. Nguyễn Xuân Thành,,0985 190 526,thanh@vietsun.vn,vận chuyển hàng hóa giao nhận vận chuyển hàng hóa
Âu Việt Mộc - Công Ty TNHH Thương Mại Xuất Nhập Khẩu Âu Việt Mộc,,"12 Nguyễn Công Trứ, P. 19, Q. Bình Thạnh,TP. Hồ Chí Minh, Việt Nam",(028) 35140475,,,,,xuất nhập khẩu các công ty xuất nhập khẩu,Công Ty Cổ Phần Tín Tốc,www.tintoc.vn,"Số 2 Phố Quang, P. 2, Q. Tân Bình,TP. Hồ Chí Minh, Việt Nam",1900636306,,,,tinh.nhi0107@gmail.com,vận chuyển hàng hóa giao nhận vận chuyển hàng hóa
Quốc Tế Việt Trung - Công Ty Cổ Phần Hợp Tác Quốc Tế Việt Trung,,"1056 Đường 3 Tháng 2, P. 12, Q. 11,TP. Hồ Chí Minh, Việt Nam",(028) 62641149,,,,vti@viettel.vn,xuất nhập khẩu các công ty xuất nhập khẩu,Công Ty TNHH Dịch Vụ Thương Mại Vận Chuyển Quốc Tế Sen Vàng,www.kingshipglobal.com,"4FL, Tòa Nhà NFV, Số 17A Hoàng Việt, P. 4, Q. Tân Bình,TP. Hồ Chí Minh, Việt Nam",(028) 62968168,Dana Trần,Giám Đốc,0982.333.338,info@kingshipglobal.com,vận chuyển hàng hóa giao nhận vận chuyển hàng hóa
Việt Thịnh - Công Ty Cổ Phần Sản Xuất Thương Mại Đầu Tư Phát Triển Hạ Tầng & Nhà Đất Việt Thịnh,,"162 Bắc Hải, P. 6, Q. Tân Bình,TP. Hồ Chí Minh, Việt Nam",(028) 38653163,,,,lethanh@saigonnet.vn,xuất nhập khẩu các công ty xuất nhập khẩu,Vận Chuyển Việt Thái - Công Ty TNHH Giao Nhận Vận Tải NewTransport,www.vanchuyenhangdithai.com,"ố 13, Quốc Lộ 1A, Phường Thới An, Quận 12,TP. Hồ Chí Minh, Việt Nam",949467804,Hotline,,936004800,vietthaiexpress1@gmail.com,vận chuyển hàng hóa giao nhận vận chuyển hàng hóa
